epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.513,2.83088,7.32328,4.24839,0.00196,0.00227,0.00085,0.00018,2.97352,4.53343,4.24067,0.00331927,0.00331927,0.00331927
2,252.798,2.60476,5.53561,3.71464,0.74699,0.01842,0.00595,0.00176,2.47931,5.1028,3.21706,0.00660869,0.00660869,0.00660869
3,372.483,2.19354,4.36927,2.87443,0.51657,0.08957,0.02518,0.00912,2.1831,5.00154,2.87104,0.00985412,0.00985412,0.00985412
4,490.37,1.99112,3.34547,2.48901,0.67956,0.12896,0.04925,0.02043,2.13111,3.30164,2.7272,0.009802,0.009802,0.009802
5,607.193,1.86054,2.98992,2.31355,0.50685,0.14497,0.07573,0.03717,1.87814,3.09827,2.33634,0.009736,0.009736,0.009736
6,725.102,1.79307,2.79688,2.21647,0.3386,0.18982,0.10588,0.04824,1.90835,2.98183,2.36229,0.00967,0.00967,0.00967
7,851.153,1.74371,2.67589,2.16005,0.40443,0.16019,0.11138,0.05333,1.86846,2.78176,2.33834,0.009604,0.009604,0.009604
8,968.583,1.69674,2.57645,2.11384,0.38766,0.23566,0.15018,0.07654,1.76389,2.54541,2.23335,0.009538,0.009538,0.009538
9,1086.03,1.66202,2.48709,2.07913,0.36191,0.2026,0.17131,0.09049,1.74887,2.59493,2.17537,0.009472,0.009472,0.009472
10,1203.88,1.64066,2.38345,2.04342,0.36048,0.22766,0.18785,0.09848,1.75751,2.44159,2.20147,0.009406,0.009406,0.009406
11,1321.6,1.61282,2.31369,2.01734,0.25607,0.24882,0.1758,0.09256,1.71307,2.42296,2.1054,0.00934,0.00934,0.00934
12,1441.01,1.60184,2.26315,2.00297,0.30093,0.31139,0.23719,0.12815,1.64235,2.17439,2.05324,0.009274,0.009274,0.009274
13,1559.4,1.58079,2.1892,1.97393,0.36203,0.31767,0.24966,0.13384,1.62341,2.15729,2.05392,0.009208,0.009208,0.009208
14,1675.87,1.56145,2.14133,1.95406,0.24063,0.33741,0.25878,0.1444,1.59242,2.14253,2.00539,0.009142,0.009142,0.009142
15,1794.32,1.5507,2.10046,1.94142,0.32505,0.3059,0.25559,0.13804,1.64737,2.21725,2.07416,0.009076,0.009076,0.009076
16,1912.56,1.53158,2.05355,1.92201,0.28506,0.3255,0.26342,0.14329,1.58143,2.12281,2.00542,0.00901,0.00901,0.00901
17,2031.39,1.51957,2.00775,1.91344,0.35644,0.34524,0.30656,0.16999,1.56128,2.01253,1.96198,0.008944,0.008944,0.008944
18,2148.97,1.50719,1.97502,1.8962,0.32651,0.36022,0.30701,0.17535,1.56161,1.99742,1.9711,0.008878,0.008878,0.008878
19,2265.32,1.49564,1.92911,1.88219,0.27034,0.39177,0.31592,0.17591,1.55482,2.01746,1.95906,0.008812,0.008812,0.008812
20,2383.46,1.48313,1.89296,1.87178,0.28033,0.34266,0.28968,0.16679,1.53104,2.03572,1.94639,0.008746,0.008746,0.008746
21,2501.06,1.4783,1.86941,1.87273,0.34724,0.41618,0.35965,0.20605,1.52759,1.86538,1.93533,0.00868,0.00868,0.00868
22,2619.56,1.46901,1.83757,1.85937,0.31471,0.4402,0.34677,0.20009,1.51253,1.94465,1.91389,0.008614,0.008614,0.008614
23,2736.09,1.4525,1.79438,1.84072,0.3579,0.41018,0.36544,0.21274,1.49053,1.83798,1.906,0.008548,0.008548,0.008548
