epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.558,2.83917,6.74593,4.29078,0.00067,0.0143,0.00049,0.00011,nan,nan,nan,0.0684669,0.00165963,0.00165963
2,266.004,2.82992,5.75545,4.1855,0,0,0,0,2.88065,4.33422,3.9811,0.0367783,0.00330435,0.00330435
3,388.195,2.62418,5.19812,3.59603,0.1291,0.00124,0.00016,4e-05,2.82019,5.15194,3.54862,0.00506771,0.00492706,0.00492706
4,507.518,2.24794,4.42685,3.01103,0.62084,0.04301,0.01559,0.00494,2.30098,3.86359,2.99835,0.004901,0.004901,0.004901
5,634.018,2.01841,3.78645,2.67043,0.26179,0.14688,0.03598,0.01437,2.08888,3.57161,2.70897,0.004868,0.004868,0.004868
6,762.057,1.87682,3.3182,2.4446,0.42797,0.11717,0.07142,0.03241,1.9018,3.03221,2.44273,0.004835,0.004835,0.004835
7,880.423,1.7905,3.015,2.31396,0.40073,0.13354,0.09517,0.04487,1.87338,3.01122,2.44999,0.004802,0.004802,0.004802
8,997.603,1.72809,2.81738,2.22836,0.38039,0.18283,0.1442,0.07599,1.76976,2.69201,2.25324,0.004769,0.004769,0.004769
9,1114.25,1.67738,2.65915,2.16475,0.33501,0.251,0.18555,0.09431,1.73786,2.47334,2.22219,0.004736,0.004736,0.004736
10,1230.64,1.647,2.51839,2.11718,0.37099,0.2545,0.18636,0.09662,1.7013,2.40852,2.20318,0.004703,0.004703,0.004703
11,1346.32,1.61061,2.40157,2.07272,0.28068,0.29254,0.21693,0.11858,1.63238,2.30643,2.11269,0.00467,0.00467,0.00467
12,1462.37,1.58505,2.31654,2.03844,0.30392,0.31797,0.24329,0.13219,1.64199,2.17259,2.09803,0.004637,0.004637,0.004637
13,1578.54,1.55938,2.23588,2.00365,0.30186,0.37771,0.26264,0.1421,1.60165,2.09562,2.04477,0.004604,0.004604,0.004604
14,1696.44,1.53266,2.16494,1.97591,0.23709,0.35627,0.26165,0.14758,1.57394,2.13268,2.02566,0.004571,0.004571,0.004571
15,1816,1.51946,2.09388,1.95618,0.30002,0.30544,0.26893,0.15133,1.54446,2.13464,2.00583,0.004538,0.004538,0.004538
16,1936.39,1.50165,2.03309,1.93614,0.33473,0.38144,0.29626,0.16606,1.54192,2.03655,1.98307,0.004505,0.004505,0.004505
17,2057.84,1.48361,1.97409,1.91633,0.30546,0.37946,0.309,0.17665,1.5361,1.96988,1.97996,0.004472,0.004472,0.004472
18,2179.18,1.47127,1.93456,1.89841,0.30781,0.37824,0.331,0.18772,1.51841,1.89035,1.95116,0.004439,0.004439,0.004439
19,2298.33,1.4587,1.8887,1.88228,0.31662,0.4401,0.35011,0.20024,1.50577,1.94018,1.93811,0.004406,0.004406,0.004406
20,2418.87,1.44505,1.85358,1.86859,0.32231,0.4312,0.36165,0.21078,1.48742,1.90837,1.91701,0.004373,0.004373,0.004373
21,2541.95,1.43554,1.80842,1.85813,0.3596,0.44814,0.39074,0.226,1.48181,1.75355,1.91087,0.00434,0.00434,0.00434
22,2663.94,1.42384,1.77489,1.84984,0.40444,0.40378,0.36929,0.21851,1.45711,1.85454,1.88259,0.004307,0.004307,0.004307
23,2785.14,1.4084,1.73816,1.83553,0.36238,0.44989,0.38661,0.22546,1.45446,1.7836,1.87724,0.004274,0.004274,0.004274
24,2904.42,1.40017,1.69991,1.82009,0.37822,0.46287,0.4117,0.23906,1.43653,1.76844,1.86273,0.004241,0.004241,0.004241
