epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.0215,2.81643,5.81667,4.25457,0.03426,0.00383,0.00104,0.00026,2.91405,7.32886,4.58444,0.00331927,0.00331927,0.00331927
2,81.3502,2.51311,5.2894,3.4855,0.45444,0.03103,0.00308,0.00089,2.61728,5.1999,3.37527,0.00660869,0.00660869,0.00660869
3,115.897,2.06329,4.04934,2.72521,0.39123,0.11252,0.02656,0.0098,2.29068,5.15361,2.94004,0.00985412,0.00985412,0.00985412
4,150.16,1.89162,3.13906,2.37695,0.40081,0.18077,0.06301,0.02733,1.91648,3.69382,2.47579,0.009802,0.009802,0.009802
5,188.268,1.79827,2.80199,2.23664,0.46937,0.17466,0.10573,0.05152,1.78392,3.19082,2.27648,0.009736,0.009736,0.009736
6,225.571,1.72701,2.62464,2.14953,0.31733,0.23426,0.11347,0.05479,1.83695,2.98993,2.2894,0.00967,0.00967,0.00967
7,262.294,1.68779,2.49122,2.09954,0.33763,0.23787,0.15637,0.0765,1.77492,2.63757,2.26752,0.009604,0.009604,0.009604
8,302.356,1.64756,2.39791,2.06126,0.35164,0.27013,0.19605,0.10437,1.68603,2.42373,2.12655,0.009538,0.009538,0.009538
9,342.324,1.61465,2.31215,2.02182,0.29179,0.28583,0.20231,0.10534,1.65141,2.27669,2.07204,0.009472,0.009472,0.009472
10,380.792,1.60349,2.24134,1.99989,0.36283,0.29415,0.22756,0.12316,1.62368,2.22376,2.05821,0.009406,0.009406,0.009406
11,425.298,1.57289,2.17954,1.9754,0.31473,0.33648,0.24127,0.13196,1.5734,2.20014,2.00006,0.00934,0.00934,0.00934
12,461.853,1.55374,2.11659,1.95145,0.41007,0.34346,0.27368,0.14889,1.58659,2.04128,1.9969,0.009274,0.009274,0.009274
13,502.866,1.5346,2.05076,1.92442,0.33163,0.37028,0.28371,0.15559,1.57077,2.0503,1.98899,0.009208,0.009208,0.009208
14,537.402,1.51399,2.0075,1.90609,0.36608,0.34103,0.30521,0.17327,1.51499,1.8903,1.93284,0.009142,0.009142,0.009142
15,582.51,1.50105,1.96477,1.89266,0.29096,0.36274,0.31492,0.17641,1.52124,1.9168,1.94232,0.009076,0.009076,0.009076
16,620.111,1.49161,1.92091,1.88435,0.3801,0.41283,0.3559,0.1978,1.51062,1.80706,1.92897,0.00901,0.00901,0.00901
17,658.287,1.47349,1.87024,1.87099,0.4123,0.40648,0.35004,0.19768,1.51229,1.86356,1.92397,0.008944,0.008944,0.008944
18,698.415,1.46267,1.83185,1.85278,0.38191,0.39607,0.34606,0.1972,1.49786,1.80358,1.91131,0.008878,0.008878,0.008878
19,736.105,1.4522,1.8104,1.84171,0.45282,0.39476,0.37651,0.21714,1.46761,1.76823,1.86262,0.008812,0.008812,0.008812
20,774.201,1.44479,1.76526,1.83184,0.47048,0.43967,0.40614,0.23673,1.46293,1.68175,1.87418,0.008746,0.008746,0.008746
21,812.821,1.43326,1.73169,1.82591,0.44205,0.44397,0.41911,0.24187,1.46276,1.64812,1.86629,0.00868,0.00868,0.00868
22,855.442,1.42675,1.70902,1.81732,0.38583,0.49872,0.43928,0.25689,1.41092,1.61336,1.81243,0.008614,0.008614,0.008614
23,891.985,1.41373,1.68564,1.80357,0.48556,0.44082,0.44831,0.26732,1.41462,1.61194,1.81929,0.008548,0.008548,0.008548
24,933.348,1.40424,1.63834,1.78988,0.42823,0.49295,0.45025,0.26383,1.42936,1.57158,1.82713,0.008482,0.008482,0.008482
25,968.358,1.39724,1.62167,1.79198,0.49439,0.49335,0.47381,0.28086,1.40283,1.50134,1.80207,0.008416,0.008416,0.008416
26,1008.77,1.39071,1.59626,1.77746,0.44908,0.51302,0.47149,0.27518,1.41143,1.50084,1.80919,0.00835,0.00835,0.00835
27,1042.66,1.38483,1.57835,1.76915,0.48503,0.48667,0.48261,0.29079,1.38955,1.44418,1.78713,0.008284,0.008284,0.008284
28,1086.73,1.37622,1.54754,1.7627,0.45403,0.5336,0.49836,0.29927,1.39206,1.45432,1.78585,0.008218,0.008218,0.008218
29,1131.11,1.36592,1.52504,1.7517,0.50802,0.51863,0.50279,0.30139,1.37874,1.44771,1.76952,0.008152,0.008152,0.008152
30,1170.08,1.36364,1.50082,1.74709,0.44703,0.55831,0.51816,0.31147,1.36555,1.40969,1.76277,0.008086,0.008086,0.008086
31,1214.14,1.35904,1.48187,1.74332,0.57775,0.47296,0.52706,0.31473,1.3639,1.37331,1.75798,0.00802,0.00802,0.00802
32,1259.37,1.35275,1.47677,1.73438,0.45363,0.5502,0.53036,0.31897,1.36492,1.36626,1.75843,0.007954,0.007954,0.007954
33,1299.04,1.34645,1.45646,1.72818,0.45336,0.56588,0.52668,0.31743,1.34536,1.36201,1.74348,0.007888,0.007888,0.007888
