epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.994,2.80495,5.8096,4.24293,0.00111,0.13746,0.00075,0.00018,2.96605,54.4729,5.9143,0.00331927,0.00331927,0.00331927
2,92.9303,2.53099,5.30447,3.50493,0.39199,0.06564,0.00633,0.00192,2.51396,5.42381,3.51888,0.00660869,0.00660869,0.00660869
3,133.359,2.03341,3.97635,2.68013,0.48652,0.14669,0.0419,0.01778,2.22385,6.26212,2.87623,0.00985412,0.00985412,0.00985412
4,170.938,1.88364,3.09865,2.3571,0.50905,0.17925,0.07479,0.03095,2.06396,3.18277,2.84043,0.009802,0.009802,0.009802
5,208.132,1.79428,2.79348,2.22462,0.26754,0.22298,0.11193,0.0531,1.82276,2.80139,2.30631,0.009736,0.009736,0.009736
6,245.581,1.73025,2.62052,2.15171,0.32453,0.24134,0.17569,0.08652,1.83965,2.4539,2.30743,0.00967,0.00967,0.00967
7,287.078,1.69382,2.49655,2.10563,0.32715,0.25159,0.17661,0.08726,1.77633,2.45864,2.22579,0.009604,0.009604,0.009604
8,323.613,1.64417,2.40824,2.06275,0.45061,0.26748,0.21239,0.11017,1.71885,2.34766,2.15628,0.009538,0.009538,0.009538
9,357.469,1.61763,2.3191,2.02605,0.32659,0.31931,0.25777,0.1391,1.64454,2.23239,2.07303,0.009472,0.009472,0.009472
10,389.767,1.59141,2.22493,1.99395,0.35985,0.299,0.2369,0.13104,1.64906,2.28313,2.10675,0.009406,0.009406,0.009406
11,421.748,1.57378,2.16636,1.97775,0.29219,0.31976,0.26954,0.14443,1.64474,2.14543,2.04718,0.00934,0.00934,0.00934
12,457.304,1.56125,2.12715,1.96471,0.29651,0.34274,0.28665,0.15881,1.58875,2.01193,2.01287,0.009274,0.009274,0.009274
13,493.032,1.54229,2.04671,1.93044,0.42423,0.33932,0.29713,0.16325,1.6089,2.11923,2.0286,0.009208,0.009208,0.009208
