epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.1979,3.10706,5.04525,4.15576,0.00367,0.1775,0.00366,0.00105,2.71968,4.426,3.87485,0.00332865,0.00332865,0.00332865
2,167.466,2.4435,3.50007,3.18745,0.94102,0.01199,0.00901,0.00296,2.20143,4.11583,3.07156,0.00661801,0.00661801,0.00661801
3,240.104,1.71601,2.49656,2.33468,0.01203,0.27769,0.0266,0.01174,2.00447,3.70363,2.78187,0.00986337,0.00986337,0.00986337
4,311.956,1.45777,1.89979,2.0077,0.75364,0.059,0.03658,0.01774,1.86971,3.37082,2.61343,0.009802,0.009802,0.009802
5,383.209,1.28658,1.53827,1.81564,0.69511,0.09633,0.03882,0.01902,1.84161,3.23544,2.53285,0.009736,0.009736,0.009736
6,455.921,1.1647,1.3518,1.67976,0.88583,0.07589,0.05827,0.02777,1.85286,2.93305,2.47012,0.00967,0.00967,0.00967
7,529.288,1.08956,1.24096,1.60555,0.77739,0.06185,0.05258,0.02696,1.80484,2.97815,2.44758,0.009604,0.009604,0.009604
8,601.575,1.01095,1.14938,1.53182,0.70743,0.117,0.05818,0.03024,1.78524,2.83758,2.41172,0.009538,0.009538,0.009538
9,676.004,0.96567,1.09304,1.48866,0.61967,0.09491,0.06352,0.03056,1.84105,2.81797,2.42359,0.009472,0.009472,0.009472
10,750.38,0.93349,1.05265,1.45221,0.6259,0.10032,0.07417,0.0371,1.7529,2.69975,2.37729,0.009406,0.009406,0.009406
11,825.179,0.89682,1.00512,1.41658,0.46815,0.12135,0.08518,0.04241,1.78619,2.63059,2.39864,0.00934,0.00934,0.00934
12,900.9,0.86481,0.96607,1.38697,0.51134,0.12235,0.10049,0.05247,1.78969,2.61886,2.34088,0.009274,0.009274,0.009274
13,976.611,0.84647,0.95384,1.3738,0.46504,0.1729,0.11689,0.05673,1.73435,2.53691,2.36005,0.009208,0.009208,0.009208
14,1051.52,0.82185,0.91896,1.3509,0.27862,0.17283,0.11249,0.05762,1.73055,2.51813,2.33434,0.009142,0.009142,0.009142
15,1127.29,0.80431,0.89899,1.33241,0.28189,0.19852,0.12823,0.06706,1.70026,2.45485,2.29845,0.009076,0.009076,0.009076
16,1201.67,0.77988,0.87352,1.31047,0.49774,0.193,0.13571,0.06942,1.70852,2.47807,2.28837,0.00901,0.00901,0.00901
17,1277.23,0.77177,0.86623,1.30731,0.30359,0.226,0.15184,0.07743,1.68205,2.35806,2.25296,0.008944,0.008944,0.008944
18,1352.83,0.75641,0.84511,1.28886,0.23532,0.24021,0.16111,0.08257,1.66847,2.3247,2.25116,0.008878,0.008878,0.008878
19,1428.21,0.73633,0.81596,1.26969,0.21114,0.23501,0.16311,0.08351,1.65999,2.32524,2.23962,0.008812,0.008812,0.008812
20,1505.1,0.72904,0.814,1.26508,0.33029,0.24709,0.18301,0.09681,1.64907,2.27885,2.22147,0.008746,0.008746,0.008746
21,1582.05,0.72018,0.80607,1.2585,0.36383,0.2764,0.19477,0.10109,1.6655,2.22071,2.20553,0.00868,0.00868,0.00868
22,1659.86,0.70406,0.78395,1.24486,0.19479,0.26927,0.1858,0.0954,1.65875,2.18187,2.22788,0.008614,0.008614,0.008614
23,1737.86,0.70433,0.78785,1.24494,0.3311,0.27846,0.20616,0.10616,1.6439,2.15835,2.20293,0.008548,0.008548,0.008548
24,1814.88,0.69351,0.77642,1.23231,0.38538,0.26802,0.20459,0.10656,1.62716,2.13446,2.19868,0.008482,0.008482,0.008482
25,1892.23,0.67477,0.75281,1.21757,0.31158,0.30762,0.20217,0.10537,1.62367,2.11345,2.17688,0.008416,0.008416,0.008416
26,1971.75,0.67037,0.74587,1.20828,0.32847,0.30217,0.22501,0.11755,1.61287,2.10778,2.15561,0.00835,0.00835,0.00835
27,2048.93,0.66169,0.73302,1.203,0.31881,0.30069,0.22676,0.11958,1.59308,2.04954,2.14429,0.008284,0.008284,0.008284
28,2125.65,0.65714,0.72505,1.19932,0.3199,0.32648,0.22518,0.11917,1.60376,2.0421,2.14536,0.008218,0.008218,0.008218
29,2201.89,0.64441,0.71605,1.18987,0.29267,0.30521,0.22151,0.1192,1.59593,2.07005,2.12456,0.008152,0.008152,0.008152
30,2278.2,0.64663,0.71393,1.19064,0.43287,0.29612,0.23929,0.13031,1.58236,2.00877,2.12757,0.008086,0.008086,0.008086
31,2354.22,0.6332,0.70143,1.18064,0.36048,0.33914,0.24501,0.13304,1.57172,2.01352,2.11069,0.00802,0.00802,0.00802
32,2428.7,0.62372,0.6896,1.17233,0.36503,0.33363,0.26058,0.13817,1.57746,1.94913,2.12036,0.007954,0.007954,0.007954
33,2502.97,0.61908,0.68022,1.16813,0.31716,0.33494,0.2637,0.14182,1.55585,1.94593,2.07802,0.007888,0.007888,0.007888
34,2577.3,0.61754,0.68234,1.16797,0.32089,0.32407,0.28399,0.15581,1.56129,1.91084,2.08963,0.007822,0.007822,0.007822
35,2649.25,0.60534,0.66588,1.15632,0.33848,0.35858,0.28763,0.15828,1.56671,1.89587,2.09281,0.007756,0.007756,0.007756
36,2724.55,0.6119,0.67495,1.15933,0.35308,0.33909,0.28486,0.15886,1.55825,1.89447,2.09257,0.00769,0.00769,0.00769
37,2799.25,0.59617,0.65841,1.14846,0.40522,0.3436,0.29472,0.16487,1.54571,1.8868,2.06956,0.007624,0.007624,0.007624
38,2874.45,0.59415,0.66199,1.14674,0.31958,0.36295,0.30332,0.16617,1.52505,1.85514,2.05175,0.007558,0.007558,0.007558
39,2950.25,0.59491,0.66117,1.14711,0.34355,0.36515,0.3083,0.16886,1.52595,1.83687,2.05134,0.007492,0.007492,0.007492
40,3026.28,0.58971,0.65027,1.14362,0.35491,0.38477,0.30513,0.16764,1.52493,1.8522,2.05902,0.007426,0.007426,0.007426
41,3102.38,0.58043,0.6415,1.13709,0.32228,0.37761,0.31572,0.17372,1.52874,1.79321,2.05915,0.00736,0.00736,0.00736
42,3178.79,0.58353,0.64314,1.14049,0.39788,0.37283,0.32299,0.17977,1.52565,1.79664,2.05523,0.007294,0.007294,0.007294
43,3254.64,0.57439,0.63082,1.13232,0.3654,0.4027,0.32378,0.18128,1.52252,1.79177,2.04707,0.007228,0.007228,0.007228
44,3331.22,0.56964,0.63116,1.12962,0.31683,0.38975,0.34495,0.1889,1.52292,1.76457,2.04814,0.007162,0.007162,0.007162
45,3408.43,0.56972,0.62674,1.12662,0.44844,0.36444,0.34198,0.19173,1.51722,1.73947,2.04474,0.007096,0.007096,0.007096
46,3485.43,0.56584,0.61774,1.12342,0.35777,0.37845,0.34867,0.19229,1.51945,1.72489,2.04653,0.00703,0.00703,0.00703
47,3562.28,0.56146,0.61098,1.11699,0.38499,0.39119,0.36723,0.20066,1.51742,1.70145,2.02692,0.006964,0.006964,0.006964
48,3638.16,0.55678,0.61424,1.11633,0.37153,0.3921,0.35701,0.19848,1.51108,1.72475,2.02835,0.006898,0.006898,0.006898
49,3713.88,0.55445,0.61156,1.11533,0.40409,0.39065,0.36734,0.20343,1.51153,1.6858,2.02779,0.006832,0.006832,0.006832
50,3790.91,0.55272,0.60165,1.11494,0.41448,0.41394,0.37123,0.20796,1.50919,1.69374,2.0243,0.006766,0.006766,0.006766
51,3867.21,0.54951,0.60486,1.11198,0.30879,0.45948,0.37495,0.21009,1.50412,1.67077,2.01042,0.0067,0.0067,0.0067
52,3943.3,0.54411,0.59303,1.10663,0.33089,0.44932,0.38304,0.21608,1.49829,1.67147,2.01353,0.006634,0.006634,0.006634
53,4018.92,0.54301,0.58751,1.10538,0.3573,0.4546,0.3869,0.21844,1.49462,1.63818,2.00727,0.006568,0.006568,0.006568
54,4095.58,0.53853,0.58766,1.10486,0.3249,0.46373,0.39789,0.22351,1.49911,1.63752,2.00593,0.006502,0.006502,0.006502
55,4172.95,0.53971,0.58772,1.10256,0.34475,0.46663,0.40439,0.22863,1.4884,1.64126,1.99272,0.006436,0.006436,0.006436
56,4249.87,0.53203,0.57795,1.09658,0.28988,0.46304,0.40149,0.22826,1.48294,1.63372,1.98928,0.00637,0.00637,0.00637
57,4325.68,0.53115,0.57408,1.09497,0.315,0.46335,0.40649,0.22909,1.48502,1.61596,1.99104,0.006304,0.006304,0.006304
58,4400.7,0.53219,0.57796,1.09602,0.34314,0.45285,0.41195,0.2345,1.47954,1.58953,1.99065,0.006238,0.006238,0.006238
59,4476.19,0.52791,0.57252,1.095,0.33905,0.4786,0.42184,0.23868,1.47475,1.56498,1.98791,0.006172,0.006172,0.006172
60,4551.7,0.51697,0.5644,1.08527,0.35566,0.47693,0.42967,0.24338,1.47423,1.57136,1.98522,0.006106,0.006106,0.006106
61,4628.49,0.52577,0.56783,1.09102,0.32866,0.50397,0.43337,0.24593,1.47,1.5782,1.97566,0.00604,0.00604,0.00604
62,4704.59,0.51547,0.55481,1.08366,0.34396,0.48107,0.42663,0.24238,1.4695,1.56826,1.9715,0.005974,0.005974,0.005974
63,4781.48,0.51838,0.56099,1.08755,0.30489,0.49787,0.42681,0.24501,1.46531,1.55866,1.96625,0.005908,0.005908,0.005908
64,4858.32,0.51617,0.56231,1.08903,0.30933,0.49156,0.42753,0.24627,1.45948,1.5514,1.96313,0.005842,0.005842,0.005842
65,4934.59,0.50775,0.54923,1.08134,0.3231,0.50215,0.43328,0.24882,1.4561,1.55285,1.9591,0.005776,0.005776,0.005776
66,5011.79,0.50803,0.55194,1.08049,0.32466,0.49616,0.43955,0.25217,1.45537,1.5403,1.95968,0.00571,0.00571,0.00571
67,5088.91,0.50627,0.54592,1.07775,0.32683,0.50403,0.4383,0.25375,1.4522,1.54958,1.95764,0.005644,0.005644,0.005644
68,5165.33,0.502,0.5442,1.07682,0.35735,0.50401,0.44404,0.25678,1.45006,1.53931,1.95402,0.005578,0.005578,0.005578
69,5242.52,0.50228,0.54166,1.07735,0.34535,0.50796,0.44778,0.25748,1.44603,1.51982,1.94719,0.005512,0.005512,0.005512
70,5320.01,0.49592,0.53426,1.07194,0.34422,0.50991,0.45024,0.2587,1.44581,1.51696,1.94571,0.005446,0.005446,0.005446
71,5396.32,0.49667,0.53644,1.07287,0.3396,0.52007,0.4504,0.25939,1.44398,1.51255,1.94237,0.00538,0.00538,0.00538
