epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.335,5.97474,14.7538,8.4078,0.00128,0.13144,0.00112,0.00027,5.45796,20.2245,10.5113,0.00332865,0.00332865,0.00332865
2,192.946,4.91521,9.90255,6.61348,0.03564,0.00459,0.00164,0.00058,4.31912,8.68216,6.33385,0.00661801,0.00661801,0.00661801
3,279.496,3.43565,5.82529,4.79242,0.03837,0.12066,0.02614,0.00938,3.77328,8.3827,5.44843,0.00986337,0.00986337,0.00986337
4,366.335,2.96447,4.18916,4.16313,0.01231,0.39399,0.0295,0.01419,3.6052,7.19832,5.15792,0.009802,0.009802,0.009802
5,451.741,2.63727,3.32944,3.77156,0.0076,0.52942,0.02841,0.01322,3.78818,6.90312,5.29123,0.009736,0.009736,0.009736
6,536.98,2.40653,2.95996,3.502,0.78615,0.04706,0.04095,0.0204,3.63322,6.33627,5.02255,0.00967,0.00967,0.00967
7,623.452,2.24236,2.68102,3.3182,0.0112,0.59041,0.04327,0.02271,3.65095,6.47471,5.07658,0.009604,0.009604,0.009604
8,709.766,2.09682,2.47511,3.17933,0.64116,0.05612,0.04661,0.02458,3.50862,5.90808,4.83411,0.009538,0.009538,0.009538
9,794.11,1.99577,2.34334,3.06668,0.76874,0.05758,0.04668,0.0248,3.5452,5.97842,4.85468,0.009472,0.009472,0.009472
10,880.477,1.9253,2.24946,3.00247,0.67292,0.08173,0.05417,0.02924,3.50724,5.76315,4.84163,0.009406,0.009406,0.009406
11,972.655,1.84871,2.14962,2.92527,0.6822,0.086,0.05701,0.03106,3.51634,5.63711,4.69129,0.00934,0.00934,0.00934
12,1065.18,1.78191,2.06957,2.85882,0.63036,0.08236,0.06057,0.03339,3.48106,5.69099,4.79932,0.009274,0.009274,0.009274
13,1154.79,1.74565,2.04669,2.83413,0.63603,0.09451,0.07322,0.03803,3.51123,5.31911,4.69866,0.009208,0.009208,0.009208
14,1243.49,1.69795,1.98686,2.7879,0.73795,0.08175,0.07588,0.04019,3.41876,5.21597,4.65066,0.009142,0.009142,0.009142
15,1333.01,1.66416,1.93798,2.74176,0.61221,0.09514,0.09116,0.05014,3.38016,5.11509,4.63511,0.009076,0.009076,0.009076
16,1423.38,1.61896,1.86811,2.70025,0.58262,0.12363,0.09164,0.04801,3.40071,4.99598,4.54741,0.00901,0.00901,0.00901
17,1517.42,1.59347,1.83553,2.68367,0.43993,0.13304,0.09708,0.05057,3.39651,4.8763,4.56926,0.008944,0.008944,0.008944
18,1610.58,1.57136,1.81256,2.66593,0.45941,0.16385,0.10821,0.05872,3.30112,4.79721,4.47356,0.008878,0.008878,0.008878
19,1704.33,1.53491,1.74759,2.6311,0.54078,0.15416,0.12224,0.06365,3.3296,4.7655,4.57318,0.008812,0.008812,0.008812
20,1797.51,1.50785,1.73786,2.60274,0.54335,0.15837,0.12986,0.06995,3.31007,4.63104,4.42149,0.008746,0.008746,0.008746
21,1888.08,1.50579,1.74408,2.59612,0.50908,0.1819,0.13146,0.07269,3.29443,4.63899,4.40432,0.00868,0.00868,0.00868
22,1977.01,1.46032,1.67501,2.56863,0.35594,0.19459,0.13545,0.07402,3.30142,4.51616,4.45164,0.008614,0.008614,0.008614
23,2066.18,1.47176,1.68761,2.57068,0.41479,0.20732,0.14414,0.07822,3.29487,4.50109,4.43272,0.008548,0.008548,0.008548
24,2155.59,1.44532,1.65706,2.54298,0.41831,0.22409,0.14491,0.07783,3.23023,4.42575,4.41962,0.008482,0.008482,0.008482
25,2243.3,1.40891,1.62328,2.51567,0.29693,0.21876,0.16284,0.08793,3.24857,4.36521,4.42007,0.008416,0.008416,0.008416
26,2331.25,1.38759,1.60453,2.49708,0.31449,0.22777,0.17293,0.094,3.21791,4.34898,4.36162,0.00835,0.00835,0.00835
27,2419.69,1.37576,1.56758,2.4871,0.3799,0.23565,0.1681,0.09115,3.21047,4.24413,4.36804,0.008284,0.008284,0.008284
28,2509.32,1.37281,1.55234,2.47507,0.26655,0.24865,0.17571,0.09497,3.19004,4.23162,4.31488,0.008218,0.008218,0.008218
29,2599.1,1.34587,1.51945,2.44873,0.33865,0.23662,0.18537,0.09936,3.19116,4.27377,4.28576,0.008152,0.008152,0.008152
30,2688.78,1.33766,1.52545,2.44736,0.40428,0.2304,0.19473,0.10747,3.14703,4.21301,4.3,0.008086,0.008086,0.008086
31,2778.14,1.32395,1.50444,2.43454,0.37343,0.27341,0.1976,0.10918,3.16403,4.05262,4.24392,0.00802,0.00802,0.00802
32,2867.18,1.30614,1.48625,2.41663,0.29361,0.2606,0.20533,0.11318,3.1516,4.03043,4.2673,0.007954,0.007954,0.007954
33,2957.04,1.30258,1.45737,2.4141,0.38038,0.26617,0.20275,0.11253,3.11399,4.01882,4.22592,0.007888,0.007888,0.007888
34,3050.64,1.29376,1.45603,2.40351,0.34642,0.27366,0.20889,0.11639,3.12134,3.95106,4.2136,0.007822,0.007822,0.007822
35,3145.82,1.27114,1.43475,2.38851,0.32099,0.28031,0.20533,0.11411,3.13822,3.97944,4.22114,0.007756,0.007756,0.007756
36,3240.58,1.27079,1.45041,2.3904,0.26781,0.28053,0.20932,0.11554,3.12661,3.90733,4.22063,0.00769,0.00769,0.00769
37,3334.88,1.25338,1.407,2.37147,0.28974,0.29904,0.21517,0.1185,3.12774,3.86305,4.20753,0.007624,0.007624,0.007624
38,3430.23,1.24329,1.41664,2.363,0.37343,0.28654,0.22506,0.12283,3.10786,3.91248,4.19264,0.007558,0.007558,0.007558
39,3525.94,1.23647,1.41188,2.35813,0.30174,0.30185,0.22691,0.12469,3.11695,3.81202,4.18899,0.007492,0.007492,0.007492
