epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.497,3.10886,5.26501,4.23738,0.00222,0.18015,0.00184,0.00048,3.10078,11.1831,4.60271,0.00332865,0.00332865,0.00332865
2,427.665,2.6674,3.72559,3.48428,0.97626,0.01091,0.0197,0.00713,2.23099,4.2738,3.09699,0.00661801,0.00661801,0.00661801
3,631.831,1.73253,2.33274,2.37935,0.52472,0.03762,0.02867,0.01291,1.95725,3.46953,2.73842,0.00986337,0.00986337,0.00986337
4,833.749,1.31886,1.6047,1.89628,0.60031,0.06971,0.0388,0.01894,1.81873,3.39723,2.58364,0.009802,0.009802,0.009802
5,1036.68,1.09426,1.28682,1.67316,0.63635,0.09574,0.0584,0.02876,1.82715,3.01896,2.54665,0.009736,0.009736,0.009736
6,1239.55,0.96212,1.12284,1.54437,0.66952,0.11371,0.08383,0.04147,1.80984,2.71502,2.52963,0.00967,0.00967,0.00967
7,1442.29,0.8864,1.0194,1.46984,0.56614,0.14449,0.10676,0.05259,1.72821,2.61916,2.38412,0.009604,0.009604,0.009604
8,1644.81,0.81504,0.93757,1.40629,0.47672,0.18232,0.11608,0.05949,1.71486,2.55244,2.35045,0.009538,0.009538,0.009538
9,1847.69,0.77428,0.88591,1.37176,0.4463,0.18504,0.1251,0.06403,1.73429,2.45095,2.35753,0.009472,0.009472,0.009472
10,2050.28,0.73729,0.84265,1.34141,0.38715,0.22785,0.15068,0.07666,1.66013,2.38156,2.34614,0.009406,0.009406,0.009406
11,2252.54,0.70311,0.79779,1.30807,0.34349,0.24935,0.19032,0.09851,1.66406,2.25715,2.31578,0.00934,0.00934,0.00934
12,2455.25,0.67649,0.76611,1.28678,0.43004,0.25178,0.19684,0.10192,1.63153,2.20063,2.2878,0.009274,0.009274,0.009274
13,2658.01,0.66294,0.75382,1.27695,0.22613,0.30751,0.19863,0.10103,1.66203,2.22535,2.30499,0.009208,0.009208,0.009208
14,2858.81,0.6367,0.72967,1.25205,0.25156,0.33843,0.22909,0.11831,1.6066,2.0397,2.24958,0.009142,0.009142,0.009142
15,3059.86,0.61938,0.71675,1.23938,0.38076,0.29435,0.24535,0.12611,1.61346,2.04017,2.29765,0.009076,0.009076,0.009076
16,3262.03,0.60189,0.69439,1.22378,0.25588,0.31956,0.2394,0.12696,1.58246,2.00621,2.23925,0.00901,0.00901,0.00901
17,3464.79,0.59323,0.68391,1.21611,0.25276,0.34214,0.24989,0.13374,1.56394,1.98303,2.19643,0.008944,0.008944,0.008944
